Testing with Activation Function: ReLU
Epoch [487/1000] - Loss: 0.2429
Epoch [488/1000] - Loss: 0.2461
Epoch [489/1000] - Loss: 0.2760
Epoch [490/1000] - Loss: 0.3045
Epoch [491/1000] - Loss: 0.2966
Epoch [492/1000] - Loss: 0.2598
Epoch [493/1000] - Loss: 0.2488
Epoch [494/1000] - Loss: 0.2578
Epoch [495/1000] - Loss: 0.2626
Epoch [496/1000] - Loss: 0.2434
Epoch [497/1000] - Loss: 0.2505
Epoch [498/1000] - Loss: 0.2517
Epoch [499/1000] - Loss: 0.2477
Epoch [500/1000] - Loss: 0.2412
Epoch [501/1000] - Loss: 0.2492
Epoch [502/1000] - Loss: 0.2424
Epoch [503/1000] - Loss: 0.2410
Epoch [504/1000] - Loss: 0.2449
Epoch [505/1000] - Loss: 0.2400
Epoch [506/1000] - Loss: 0.2411
Epoch [507/1000] - Loss: 0.2413
Epoch [508/1000] - Loss: 0.2555
Epoch [509/1000] - Loss: 0.2481
Epoch [510/1000] - Loss: 0.2704
Epoch [511/1000] - Loss: 0.2444
Epoch [512/1000] - Loss: 0.2333
Epoch [513/1000] - Loss: 0.2380
Epoch [514/1000] - Loss: 0.2443
Epoch [515/1000] - Loss: 0.2478
Epoch [516/1000] - Loss: 0.2413
Epoch [517/1000] - Loss: 0.2413
Epoch [518/1000] - Loss: 0.2373
Epoch [519/1000] - Loss: 0.2386
Epoch [520/1000] - Loss: 0.2375
Epoch [521/1000] - Loss: 0.2330
Epoch [522/1000] - Loss: 0.2400
Epoch [523/1000] - Loss: 0.2392
Epoch [524/1000] - Loss: 0.2349
Epoch [525/1000] - Loss: 0.2365
Epoch [526/1000] - Loss: 0.2397
Epoch [527/1000] - Loss: 0.2524
Epoch [528/1000] - Loss: 0.2290
Epoch [529/1000] - Loss: 0.2518
Epoch [530/1000] - Loss: 0.2659
Epoch [531/1000] - Loss: 0.2933
Epoch [532/1000] - Loss: 0.2572
Epoch [533/1000] - Loss: 0.2647
Epoch [534/1000] - Loss: 0.2844
Epoch [535/1000] - Loss: 0.2505
Epoch [536/1000] - Loss: 0.2505
Epoch [537/1000] - Loss: 0.2684
Epoch [538/1000] - Loss: 0.2346
Epoch [539/1000] - Loss: 0.2494
Epoch [540/1000] - Loss: 0.2351
Epoch [541/1000] - Loss: 0.2580
Epoch [542/1000] - Loss: 0.2373
Epoch [543/1000] - Loss: 0.2371
Epoch [544/1000] - Loss: 0.2344
Epoch [545/1000] - Loss: 0.2365
Epoch [546/1000] - Loss: 0.2385
Epoch [547/1000] - Loss: 0.2335
Epoch [548/1000] - Loss: 0.2369
Epoch [549/1000] - Loss: 0.2389
Epoch [550/1000] - Loss: 0.2312
Epoch [551/1000] - Loss: 0.2308
Epoch [552/1000] - Loss: 0.2396
Epoch [553/1000] - Loss: 0.2313
Epoch [554/1000] - Loss: 0.2308
Epoch [555/1000] - Loss: 0.2319
Epoch [556/1000] - Loss: 0.2366
Epoch [557/1000] - Loss: 0.2330
Epoch [558/1000] - Loss: 0.2429
Epoch [559/1000] - Loss: 0.2380
Epoch [560/1000] - Loss: 0.2432
